comment,likes,sentiment,video_id
Mam sir namak h kaise bnega matar pulao 😢😮😅,0,Neutral,0IZS7ucM9qQ
Jeera na dalne ka reason kya hai?,0,Neutral,0IZS7ucM9qQ
Ma'am onion daal sakte hai ?????,0,Neutral,0IZS7ucM9qQ
Wahh madam ji 😂,0,Positive,0IZS7ucM9qQ
Mujhe bhi khana hai matar Pulao 😋,0,Neutral,0IZS7ucM9qQ
Kya lemon juice v add kr skte hai??,0,Neutral,0IZS7ucM9qQ
Ma'am rice or matar cups ke hisab se Kitna hoga,0,Neutral,0IZS7ucM9qQ
Maine abhi ye pulao banaya aur achha bana lekin aapne zira dalne ko mana kyo keya.I like zira ki Khusboo.I am missing zira now 😢.Aab to pulao ban gaya Aab mein Kya karo,0,Negative,0IZS7ucM9qQ
Moisture waale hi chahiye thode oily,1,Neutral,0IZS7ucM9qQ
"I made this pulav first time, following your recipe, and my husband said ""pulav ho to aisa"", hotel ke tatse se bhi acha laga unhe. Thanks a lot.",17,Positive,0IZS7ucM9qQ
Bahut badhiya hai try this recipe,0,Positive,0IZS7ucM9qQ
Majedar lajatdar aap ki ressipi,0,Positive,0IZS7ucM9qQ
Aap koun sa rice use karti hain,0,Neutral,0IZS7ucM9qQ
Mam aapne aapke veg pulao video me kaha tha ke high flame pe 1 siti abh kehrahe ho 2 siti main confused h gayi mam please suggest kijiye 🙏,0,Neutral,0IZS7ucM9qQ
Hi mamAap ne pulav ki har recipe me pani ka naap alag alag bataya he,0,Neutral,0IZS7ucM9qQ
Apka recipe simple rehti hai acha lagta hai varna etna tham jham dekhate hai baki Youtubers,1,Positive,0IZS7ucM9qQ
Is video mein aapane bataya hai ki ek gilas chawal ke liye sa gilas Pani but Maine aapka dusra video dekha tha jismein ek gilas chawal ke liye dedh gilas Pani bataya tha I m confuse,0,Neutral,0IZS7ucM9qQ
Aapka recipe mujhe bahut pasand aata hai didi,1,Positive,0IZS7ucM9qQ
Veeeeeery yammi bana hai mam...Zabardast... Thanks mam.... From Qatar 🇶🇦,1,Positive,0IZS7ucM9qQ
Mam main abhi pressure cooker main nahi balki open non stick bartan main bana raha hun tou rice main kitna pani dena hoga finally please abhi bata den?,0,Neutral,0IZS7ucM9qQ
